date,ROSE,ANKR,VET,NEAR,ETH,EOS,BAKE,GRT,REEF,INJ,FIL,MATIC,BCH,IOST,CHR,EGLD,HBAR,ZIL,ALGO,DENT,DASH,ALICE,IOTA,LINK,XTZ,LRC,ONE,SXP,KAVA,AXS,ADA,SOL,ONT,ETC,MANA,SNX,ZEC,CFX,YFI,WAVES,LTC,CHZ,XLM,COTI,DOT,OMG,SUSHI,FTM,BNB,UNI,STX,RUNE,THETA,HOT,1INCH,FET,KSM,SLP,CRV,IOTX,BTC,AVAX,ENJ,CAKE,XRP,TRX,ATOM,AAVE,DOGE,NEO,SAND,QTUM
1/1/2021,0.038822973,0.032502652,0.026000909,0.045898825,0.00595567,0.014071624,,0.087269628,0.258443564,0.048388643,0.046341927,0.02914623,0.01065887,0.029328979,0.103672735,0.048383395,0.00686586,0.052892521,0.126383444,0.009639122,0.03768627,,0.003551479,0.020881586,0.008034165,0.009864773,0.072374195,0.223982257,0.042182595,0.116212627,0.015151816,0.08636408,0.015988657,0.010328084,0.0141388,0.013350823,0.079562422,,0.035868774,0.020815845,0.02371452,0.081870512,0.011123892,0.09162559,0.044845141,0.033343073,0.123067442,0.043705383,0.016538114,0.062019998,0.011826799,0.050790235,0.064232271,0.015779085,0.27273344,0.023126223,0.016776225,,0.178480189,0.008973616,0.002898401,0.046882212,0.014845562,,0.032610636,0.009617323,0.027280984,0.015755971,0.022008208,0.00722647,0.03607108,0.018128397
1/2/2021,0.043130135,0.025329496,0.034028259,0.026930657,0.011563499,0.018570723,,0.071897468,0.192652429,0.092948763,0.024845012,0.055045271,0.018218467,0.045504445,0.054223874,0.045748688,0.00658655,0.045062272,0.157978136,0.019031132,0.034249349,,0.006521524,0.023621181,0.008187124,0.005953568,0.108790561,0.208310392,0.048285115,0.1668702,0.021128995,0.113668478,0.042718862,0.017595181,0.011688789,0.00888651,0.043345777,,0.045176855,0.02841503,0.035468349,0.090385034,0.010295293,0.064918101,0.041872076,0.033611619,0.11157301,0.037295177,0.020134193,0.070540147,0.024001501,0.029384095,0.046125064,0.060651139,0.158310842,0.025172585,0.014829145,,0.160828749,0.007812411,0.006812445,0.023430783,0.014300914,,0.02551907,0.015699034,0.037657218,0.016659852,0.318302685,0.010593284,0.04712555,0.023954747
1/3/2021,0.066916555,0.034576297,0.083535603,0.040674556,0.022322229,0.034935089,,0.128262666,0.14875857,0.12465794,0.025601676,0.057212054,0.037035909,0.052123045,0.042779307,0.045682475,0.007434657,0.085547359,0.082825194,0.010311421,0.022715093,,0.009388984,0.036976419,0.014029016,0.032202838,0.107760882,0.738379755,0.07929973,0.074197887,0.035630576,0.175220375,0.03061132,0.046283286,0.017283904,0.012321543,0.032311206,,0.113051797,0.041679645,0.053825502,0.143942505,0.017443618,0.148379829,0.035892005,0.056360179,0.117411175,0.067639824,0.031678872,0.068205616,0.017799543,0.031985538,0.035801469,0.089487426,0.239935509,0.033650161,0.016985053,,0.144881135,0.008726422,0.006608466,0.013127869,0.021368817,,0.025208723,0.033555923,0.019785897,0.022604689,0.265020803,0.026543455,0.058977723,0.033928721
1/4/2021,0.113197588,0.053037571,0.073633874,0.041923919,0.036783198,0.057280233,,0.122250255,0.118132818,0.109645783,0.030449505,0.127519576,0.039857073,0.086060911,0.100624107,0.07541127,0.011801245,0.06531237,0.088311442,0.014096643,0.0271431,,0.015516432,0.060879509,0.019977843,0.15123957,0.115304553,0.891059387,0.138778198,0.10564393,0.046525098,0.154415498,0.048233555,0.089248489,0.027448278,0.018688394,0.046826387,,0.125058872,0.032521335,0.054565122,0.094560439,0.040244402,0.171258032,0.038711899,0.112920049,0.175577302,0.091857407,0.036659953,0.086226949,0.016906591,0.035760294,0.041221511,0.026047093,0.257162402,0.085841995,0.033325446,,0.227217222,0.012183586,0.007558038,0.016092182,0.034758043,,0.033624385,0.064402109,0.029129559,0.051410836,0.111499683,0.033480137,0.069941596,0.065310946
1/5/2021,0.109157363,0.038749496,0.060819128,0.037588264,0.022856402,0.031118231,,0.108052849,0.112405071,0.093318453,0.024208297,0.193536357,0.018407737,0.088445347,0.042747357,0.073005817,0.033937762,0.048135778,0.114940602,0.008063065,0.015140715,,0.022606636,0.035998741,0.016914465,0.341697768,0.058088809,0.360220271,0.164786746,0.072311934,0.043243408,0.150838455,0.035247439,0.047232934,0.018241552,0.021873111,0.021229261,,0.070405375,0.02744795,0.029326991,0.095912677,0.048968053,0.114499382,0.021184999,0.120694867,0.138190223,0.082497999,0.023076917,0.056763352,0.010829424,0.032426969,0.037452787,0.016277092,0.249015661,0.048403486,0.016873626,,0.181098586,0.009456698,0.005904759,0.029335535,0.025744823,,0.026375986,0.063976665,0.020557187,0.040357322,0.041256043,0.024909915,0.109220884,0.051060774
1/6/2021,0.095121078,0.045970785,0.06994708,0.026844142,0.019892424,0.062756609,,0.171816622,0.079069012,0.089847393,0.021232764,0.323301529,0.01888551,0.09502498,0.137486772,0.062113592,0.029644749,0.070879574,0.097881158,0.012240991,0.024999642,,0.016021157,0.049840001,0.018657516,0.20910278,0.081348621,0.508720481,0.160929265,0.112821519,0.059537258,0.191765461,0.049893427,0.041113267,0.031720631,0.014134212,0.035951941,,0.062676628,0.031108163,0.027018469,0.106594302,0.126466815,0.141829243,0.025198501,0.068707171,0.097849905,0.069307313,0.025172947,0.037528127,0.01183482,0.034941256,0.022858683,0.018174495,0.299452844,0.095617864,0.018460171,,0.226650697,0.010067346,0.006488952,0.037419442,0.03789075,,0.037454707,0.044329022,0.026896435,0.025020261,0.046943269,0.045186732,0.135050766,0.057996299
1/7/2021,0.102849478,0.056758815,0.04943956,0.024947544,0.017310934,0.076160334,,0.172178713,0.083832165,0.099260492,0.029314531,0.252419073,0.025765025,0.101667128,0.11679144,0.076249622,0.026810783,0.063484374,0.090007817,0.017977981,0.039442932,,0.015366383,0.043955322,0.018036057,0.088494227,0.08694053,0.751360029,0.159489096,0.226143376,0.048873863,0.114778519,0.065630401,0.048371646,0.127286894,0.012991876,0.077230542,,0.288028108,0.041743321,0.037644937,0.081753596,0.086992738,0.248116591,0.025955433,0.066658247,0.115498336,0.111505077,0.034073718,0.036850581,0.008831314,0.032751282,0.019801796,0.025221135,0.359301046,0.098861707,0.02590908,,0.158468917,0.017804914,0.00688785,0.019582463,0.05005969,,0.082448155,0.068468419,0.02214143,0.034704803,0.02826824,0.060229005,0.10427917,0.066131433
1/8/2021,0.105405477,0.032603593,0.046240713,0.068773531,0.018298039,0.046225519,,0.117538155,0.061901874,0.073149737,0.016606899,0.143784503,0.023996701,0.323997628,0.079826105,0.05666273,0.146867298,0.034426006,0.068103889,0.023276159,0.02397264,,0.010345065,0.037667784,0.013701581,0.04298372,0.065165695,0.843302085,0.140948469,0.126731897,0.040096898,0.106768189,0.048890983,0.051658303,0.218129577,0.014424717,0.0479609,,0.24504645,0.026558921,0.041844926,0.064794235,0.044096182,0.182607728,0.019329864,0.049967895,0.129718399,0.071309292,0.023964098,0.038703445,0.010200972,0.031011744,0.016423515,0.021095908,0.296761672,0.082958534,0.012538284,,0.155753568,0.013783134,0.007336552,0.036535106,0.375520143,,0.043920533,0.040232198,0.021750707,0.02488334,0.02246073,0.034884118,0.139659153,0.046629082
1/9/2021,0.07015119,0.061114547,0.031454471,0.08348061,0.012109778,0.067320275,,0.092348656,0.05862098,0.034785302,0.013532557,0.070430589,0.03754685,0.516886018,0.175575921,0.035828361,0.046446732,0.026953945,0.0563057,0.148351189,0.025216771,,0.032195405,0.02926974,0.011635885,0.066595315,0.165562639,0.773922159,0.158010295,0.093628431,0.024787379,0.03617366,0.063084124,0.065643022,0.041798034,0.012259388,0.04381122,,0.165006026,0.020296739,0.025387417,0.050577192,0.027286065,0.14706679,0.011709923,0.047440699,0.116926268,0.061585252,0.017794137,0.026582588,0.006992624,0.019661796,0.016524851,0.058635425,0.211489127,0.062119417,0.008675203,,0.170368331,0.059021435,0.004078477,0.047290787,0.083419229,,0.025250489,0.05813818,0.023492146,0.018048324,0.028878918,0.030379615,0.07782584,0.057556674
1/10/2021,0.084029376,0.049235761,0.048094998,0.044649469,0.017364082,0.140118389,,0.108592828,0.068169267,0.054885434,0.048154604,0.118215382,0.070960407,0.314230299,0.113745637,0.055180287,0.025903696,0.041448493,0.078431736,0.03617786,0.131455163,,0.017461974,0.042910112,0.023157989,0.031343127,0.081483412,0.772893013,0.146106476,0.101653148,0.029920191,0.021724641,0.092612869,0.138190405,0.047643024,0.019164655,0.174819579,,0.117437209,0.050803297,0.035030497,0.064761533,0.026622152,0.14514058,0.014295594,0.094765881,0.078836061,0.094291786,0.029293351,0.035195077,0.01067987,0.024152369,0.017448376,0.0391628,0.283412182,0.063362602,0.018280725,,0.196168793,0.022324971,0.006448228,0.024997957,0.055451246,,0.039134314,0.075085459,0.03341177,0.037843533,0.02499597,0.069326446,0.07334697,0.096258262
